INSTRUMENT_TYPE;TRADE_CODE;EMITENT_FULL_NAME;NOMINAL;CURRENCY;ISSUE_AMOUNT;DISCLOSURE_PART_PAGE;DISCLOSURE_RF_INFO_PAGE
Акция обыкновенная;OGKB;"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""";0,3627;Рубль;1,10441E+11;http://www.ogk2.ru/;http://www.e-disclosure.ru/portal/company.aspx?id=7234
Акция обыкновенная;HALS;"Публичное акционерное общество ""Галс-Девелопмент""";50;Рубль;11217094;http://hals-development.ru/invest;http://www.e-disclosure.ru/portal/company.aspx?id=8939
Акция обыкновенная;DVEC;"Публичное акционерное общество ""Дальневосточная энергетическая компания""";1;Рубль;17223107804;http://www.dvec.ru/company/disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=11385
Акция обыкновенная;FESH;"Публичное акционерное общество ""Дальневосточное морское пароходство""";1;Рубль;2951250000;http://www.fesco.ru/;http://www.e-disclosure.ru/portal/company.aspx?id=83
Акция обыкновенная;DSKY;"Публичное акционерное общество ""Детский мир""";0,0004;Рубль;739000000;http://corp.detmir.ru/shareholders-and-investors/disclosure-information/material-facts/;http://www.e-disclosure.ru/portal/company.aspx?id=6788
Акция обыкновенная;RUSI;"Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""";1;Рубль;109000000;http://www.russ-invest.com;http://www.e-disclosure.ru/portal/company.aspx?id=579
Акция обыкновенная;VSMO;"Публичное акционерное общество ""Корпорация ВСМПО-АВИСМА""";1;Рубль;11529538;http://www.vsmpo.ru;http://www.e-disclosure.ru/portal/company.aspx?id=1641
Акция обыкновенная;KGKC;"Публичное акционерное общество ""Курганская генерирующая компания""";7,2;Рубль;122453406;http://www.kgk-kurgan.ru/Aktsioneram_i_investoram/Raskryivaet_informatsii_na_stranitse_na_sayte_Interfaks_TSRKI/;http://www.e-disclosure.ru/portal/company.aspx?id=17935
Акция обыкновенная;MRKS;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Сибири""";0,1;Рубль;94815163249;http://www.mrsk-sib.ru/index.php?lang=ru40;http://www.e-disclosure.ru/portal/company.aspx?id=12072
Акция обыкновенная;MRKY;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Юга""";0,1;Рубль;49811096064;www.mrsk-yuga.ru;http://www.e-disclosure.ru/portal/company.aspx?id=11999
Акция обыкновенная;NMTP;"Публичное акционерное общество ""Новороссийский морской торговый порт""";0,01;Рубль;19259815400;http://nmtp.info/ncsp/;http://www.e-disclosure.ru/portal/company.aspx?id=3900
Акция обыкновенная;UNAC;"Публичное акционерное общество ""Объединенная авиастроительная корпорация""";0,86;Рубль;3,61501E+11;http://www.uacrussia.ru/ru/investors/open-information/;http://www.e-disclosure.ru/portal/company.aspx?id=11433
Акция обыкновенная;UCSS;"Публичное акционерное общество ""Объединенные Кредитные Системы""";1000;Рубль;23718856;http://www.ucsys.ru/;http://www.disclosure.ru/issuer/7708776756/
Акция обыкновенная;OTCP;"Публичное акционерное общество ""Отисифарм""";0,1;Рубль;145422732;http://www.otcpharm.ru;http://www.e-disclosure.ru/portal/company.aspx?id=34083
Акция обыкновенная;OPIN;"Публичное акционерное общество ""Открытые инвестиции""";1000;Рубль;15220793;http://www.opin.ru/investors/;http://www.e-disclosure.ru/portal/company.aspx?id=1664
Акция обыкновенная;VRAO;"Публичное акционерное общество ""РАО Энергетические системы Востока""";0,5;Рубль;43358822914;http://www.rao-esv.ru/shareholders-and-investors/disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=13497
Акция обыкновенная;RBCM;"Публичное акционерное общество ""РБК""";0,00064;Рубль;365631010;http://rbcholding.ru/filings.shtml;http://www.e-disclosure.ru/portal/company.aspx?id=24832
Акция обыкновенная;RASP;"Публичное акционерное общество ""Распадская""";0,004;Рубль;703191442;http://www.raspadskaya.ru;http://www.e-disclosure.ru/portal/company.aspx?id=942
Акция обыкновенная;RSTI;"Публичное акционерное общество ""Российские сети""";1;Рубль;1,95996E+11;http://www.rosseti.ru/investors/info/;http://www.e-disclosure.ru/portal/company.aspx?id=13806
Акция обыкновенная;TGKN;"Публичное акционерное общество ""Территориальная генерирующая компания № 14""";0,001;Рубль;1,35795E+12;http://www.tgk-14.com;http://disclosure.1prime.ru/Portal/Default.aspx?emId=7534018889
Акция обыкновенная;PHST;"Публичное акционерное общество ""Фармстандарт""";1;Рубль;37792603;http://pharmstd.ru;http://www.e-disclosure.ru/portal/company.aspx?id=9187
Акция обыкновенная;FTRE;"Публичное акционерное общество ""Финансовая группа БУДУЩЕЕ""";1000;Рубль;49174725;http://www.futurefg.ru/;http://www.e-disclosure.ru/portal/company.aspx?id=34945
Акция привилегированная;WTCMP;"Публичное акционерное общество ""Центр международной торговли""";1;Рубль;162000000;http://wtcmoscow.ru/about/sharers/;http://www.e-disclosure.ru/portal/company.aspx?id=9304
Акция обыкновенная;CHZN;"Публичное акционерное общество ""Челябинский   цинковый завод""";1;Рубль;54195410;http://www.zinc.ru/for-investors/information-disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=258
Акция обыкновенная;TNSE;"Публичное акционерное общество Группа компаний ""ТНС энерго""";1;Рубль;13668239;https://corp.tns-e.ru/investors/;http://www.e-disclosure.ru/portal/company.aspx?id=33277
Акция обыкновенная;LSNG;"Публичное акционерное общество энергетики и электрификации ""Ленэнерго""";1;Рубль;1658814839;http://lenenergo.ru;http://www.e-disclosure.ru/portal/company.aspx?id=65
Акция привилегированная;LSNGP;"Публичное акционерное общество энергетики и электрификации ""Ленэнерго""";1;Рубль;93264311;http://lenenergo.ru;http://www.e-disclosure.ru/portal/company.aspx?id=65
Акция обыкновенная;RDRB;"""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)";124;Рубль;10353948;;http://www.e-disclosure.ru/portal/company.aspx?id=1398
Акция обыкновенная;AVAN;"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество";10;Рубль;80700000;;http://www.e-disclosure.ru/portal/company.aspx?id=1070
Акция обыкновенная;KZOS;"Казанское публичное акционерное общество ""Органический синтез""";1;Рубль;1785114000;;http://disclosure.skrin.ru/disclosure/1658008723
Акция привилегированная;KZOSP;"Казанское публичное акционерное общество ""Органический синтез""";1;Рубль;119596000;;http://disclosure.skrin.ru/disclosure/1658008723
Акция обыкновенная;LNZL;"Ленское золотодобывающее публичное акционерное общество ""Лензолото""";1;Рубль;1140300;;http://www.e-disclosure.ru/portal/company.aspx?id=1991
Акция привилегированная;LNZLP;"Ленское золотодобывающее публичное акционерное общество ""Лензолото""";1;Рубль;347700;;http://www.e-disclosure.ru/portal/company.aspx?id=1991
Акция обыкновенная;KUNF;"Открытое  акционерное общество ""Каменск-Уральский завод по обработке цветных металлов""";1;Рубль;50326222;;http://www.e-disclosure.ru/portal/company.aspx?id=4662
Акция обыкновенная;URKZ;"Открытое Акционерное Общество ""Уральская кузница""";1;Рубль;547761;;http://www.e-disclosure.ru/portal/company.aspx?id=5234
Акция обыкновенная;MSST;"Открытое акционерное общество  ""Мультисистема""";0,001;Рубль;100000000;;http://www.e-disclosure.ru/portal/company.aspx?id=31563
Акция обыкновенная;SKYC;"Открытое акционерное общество  ""СкайКомпьютинг""";0,001;Рубль;100000000;;http://www.e-disclosure.ru/portal/company.aspx?id=30914
Акция обыкновенная;GTLC;"Открытое акционерное общество ""GTL""";0,2;Рубль;2596000000;;http://www.e-disclosure.ru/portal/company.aspx?id=31201
Акция обыкновенная;TAER;"Открытое акционерное общество ""Авиационная компания ""ТРАНСАЭРО""";0,01;Рубль;153846100;;http://www.e-disclosure.ru/portal/company.aspx?id=12696
Акция обыкновенная;BLNG;"Открытое акционерное общество ""Белон""";0,01;Рубль;1150000000;http://www.belon.ru/invest-akts/raskrytie-informatsii-na-interfaks/;www.e-disclosure.ru/portal/company.aspx?id=332
Акция обыкновенная;GTPR;"Открытое акционерное общество ""ГлавТоргПродукт""";10;Рубль;43000000;;http://disclosure.1prime.ru/portal/default.aspx?emId=7813511396
Акция обыкновенная;DZRD;"Открытое акционерное общество ""Донской завод радиодеталей""";1;Рубль;343407;;http://www.e-disclosure.ru/portal/company.aspx?id=5496
Акция привилегированная;DZRDP;"Открытое акционерное общество ""Донской завод радиодеталей""";1;Рубль;114469;;http://www.e-disclosure.ru/portal/company.aspx?id=5496
Акция обыкновенная;ZHIV;"Открытое акционерное общество ""Живой офис""";1;Рубль;12000000;http://zhivojoffice.com/disclosure;http://www.e-disclosure.ru/portal/company.aspx?id=31874
Акция обыкновенная;IGST;"Открытое акционерное общество ""Ижсталь""";1000;Рубль;800729;;http://www.e-disclosure.ru/portal/company.aspx?id=4089
Акция привилегированная;IGSTP;"Открытое акционерное общество ""Ижсталь""";1000;Рубль;266910;;http://www.e-disclosure.ru/portal/company.aspx?id=4089
Акция обыкновенная;KLSB;"Открытое акционерное общество ""Калужская сбытовая компания""";0,2;Рубль;91487347;;http://www.e-disclosure.ru/portal/company.aspx?id=5830
Акция обыкновенная;KSGR;"Открытое акционерное общество ""Кокс""";0,1;Рубль;330046400;;http://www.e-disclosure.ru/portal/company.aspx?id=7772
Акция обыкновенная;KZMS;"Открытое акционерное общество ""Краснокамский завод металлических сеток""";10;Рубль;884760;;http://disclosure.skrin.ru/disclosure/5916000015
Акция обыкновенная;KBSB;"Открытое акционерное общество ""Кубанская энергосбытовая компания""";0,56;Рубль;17869440;;http://www.e-disclosure.ru/portal/company.aspx?id=10624
Акция обыкновенная;KAZT;"Открытое акционерное общество ""Куйбышевазот""";1;Рубль;237043251;;http://www.e-disclosure.ru/portal/company.aspx?id=703
